##	NA
1	P48742
C10orf46	Q86Y37
C10orf47	Q86WR7
C10orf54	Q9H7M9
C10orf58	Q9BRX8
C10orf63	Q8TC29
C10orf68	Q96M83
C10orf71	Q711Q0
C10orf76	Q5T2E6
C10orf78	Q86XK3
C10orf79	Q8NDM7
C10orf88	Q9H8K7
C10orf90	Q96M02
C10orf99	Q6UWK7
C11orf24	Q96F05
C11orf30	Q7Z589
C11orf35	Q8IXW0
C11orf47	Q96M86
C11orf48	Q9BQE6
C11orf49	Q9H6J7
C11orf52	Q96A22
C11orf59	Q6IAA8
C11orf65	Q8NCR3
C11orf66	Q7Z5V6
C11orf74	Q86VG3
C11orf84	Q9BUA3
C11orf85	Q3KP22
C11orf9	Q9Y2G1
C12orf11	Q9NVM9
C12orf2	Q8NHQ8
C12orf26	Q8N6Q8
C12orf29	Q8N999
C12orf34	Q5U5X8
C12orf35	Q9HCM1
C12orf41	Q9H9L4
C12orf43	Q96C57
C12orf50	Q8NA57
C12orf70	A6NFE2
C13orf18	Q9H714
C13orf23	Q86XN7
C13orf26	Q8N6G2
C13orf33	Q5VYS4
C14orf1	Q9UKR5
C14orf101	Q9NX78
C14orf102	Q9H7Z3
C14orf105	Q9NVL8
C14orf106	Q6P0N0
